engine,record_bytes,records_per_sync,preallocation,pace_us,runs,groups_per_run,p50_us_median,p50_us_min,p50_us_max,p95_us_median,p95_us_min,p95_us_max,p99_us_median,p99_us_min,p99_us_max,max_us_median,max_us_min,max_us_max,mean_us_median,mean_us_min,mean_us_max,submit_p50_us_median,submit_p99_us_median,write_complete_p50_us_median,cpu_us_per_group_median,setup_us_median,preallocation_us_median
aio,128,1,keep-size,0,3,256,218.267,216.27700000000002,228.217,309.136,276.617,349.56600000000003,856.5,289.647,985.649,1075.6580000000001,453.664,1237.866,239.313949,235.109039,244.314793,0.77,2.7,9.84,25.2616171875,47.799,1.38
aio,128,1,off,0,3,256,234.207,217.078,235.297,362.096,291.767,377.996,1048.599,828.221,1460.914,1951.878,1349.715,2788.389,257.361988,243.06723000000002,283.464039,0.83,3.42,10.02,25.65194140625,67.36,0.0
aio,128,1,off,20000,3,64,444.21500000000003,336.057,1863.049,9869.460000000001,1650.582,14736.264000000001,17079.968,2905.138,26916.278000000002,17079.968,2905.138,26916.278000000002,1961.6948750000001,511.797344,5174.68825,2.31,3.62,29.209,65.268984375,64.969,0.0
aio,128,16,off,0,3,256,223.977,217.30700000000002,229.028,344.00600000000003,264.577,440.02500000000003,1113.078,325.996,1822.17,1876.199,375.68600000000004,2259.815,247.291016,228.307316,276.157555,0.78,1.45,10.51,27.78525390625,67.949,0.0
aio,4096,1,keep-size,0,3,256,221.55700000000002,220.007,222.978,289.747,242.787,310.187,851.07,426.705,1197.527,961.219,807.831,1791.45,240.588391,226.46322700000002,254.572758,0.78,1.86,10.15,28.147,63.779,1.46
aio,4096,1,off,0,3,256,224.178,220.707,234.107,317.776,278.347,458.235,1140.527,980.339,1412.154,1728.301,1273.116,2376.793,256.26084000000003,248.88904300000002,274.920844,0.76,1.65,10.06,27.03820703125,57.989,0.0
aio,4096,16,off,0,3,256,291.317,279.517,300.696,383.565,322.027,528.744,1209.316,503.514,1226.066,1938.928,1096.858,2094.707,324.569926,289.410359,341.953324,0.83,2.01,18.57,66.1337421875,65.299,0.0
aio,65536,1,off,0,3,256,286.877,277.306,294.327,357.096,315.906,359.915,1165.467,1157.347,1429.7540000000001,2002.257,1483.534,2568.1910000000003,307.690867,300.811023,320.122793,0.83,2.26,17.609,61.96181640625,74.329,0.0
sync,128,1,keep-size,0,3,256,210.957,207.928,212.048,282.277,255.957,294.067,1116.528,537.574,2827.408,1928.549,1794.58,5687.066,240.587918,226.023629,286.284945,210.957,1116.528,3.55,13.74405859375,50.069,1.58
sync,128,1,off,0,3,256,219.077,205.487,255.687,342.68600000000004,274.007,8945.73,2210.265,856.7810000000001,12480.95,2502.422,1985.008,12736.137,265.873809,228.880355,1231.843613,219.077,2210.265,4.15,15.79600390625,72.399,0.0
sync,128,1,off,20000,3,64,279.696,247.227,309.647,829.971,268.337,6666.195,3229.414,272.907,9483.183,3229.414,272.907,9483.183,385.30054700000005,247.269375,1106.974875,279.696,3229.414,8.36,31.5875625,85.179,0.0
sync,128,16,off,0,3,256,215.548,210.127,217.887,480.755,291.927,518.314,1133.1970000000001,1076.1580000000001,1145.867,2619.101,1717.5710000000001,3344.963,257.219848,234.994539,276.872582,215.548,1133.197,4.39,16.902171875,50.479,0.0
sync,4096,1,keep-size,0,3,256,209.928,206.298,218.168,264.077,230.418,371.036,1079.798,332.696,1370.804,1273.646,658.253,2921.737,225.443906,211.888098,256.801562,209.928,1079.798,4.45,17.2278359375,65.03,1.74
sync,4096,1,off,0,3,256,218.738,211.988,221.05700000000002,340.567,275.557,343.366,1124.1770000000001,1032.068,1129.747,2022.097,1965.038,2221.035,250.803859,236.212941,259.610207,218.738,1124.177,4.79,18.2752265625,50.519,0.0
sync,4096,16,off,0,3,256,278.086,267.22700000000003,284.617,353.416,299.157,993.688,1824.03,325.557,2416.6730000000002,2148.186,341.016,3310.743,313.64843800000006,269.544414,373.35270299999996,278.086,1824.03,12.599,53.81450390625,70.68,0.0
sync,65536,1,off,0,3,256,281.037,275.137,285.147,387.486,334.946,680.202,1950.1480000000001,354.206,1991.078,2446.402,370.976,2680.7000000000003,333.418543,286.95309399999996,339.583211,281.037,1950.148,13.77,53.89426953125,62.479,0.0
uring,128,1,keep-size,0,3,256,218.108,212.677,228.717,277.517,268.577,398.016,1127.097,274.347,1714.871,1863.57,405.985,2040.077,238.24376600000002,233.69925,268.819906,0.84,2.51,9.01,22.55319921875,66.519,1.53
uring,128,1,off,0,3,256,228.768,210.168,237.83700000000002,353.856,273.377,387.286,1785.47,1151.4270000000001,2360.954,2187.725,1992.308,2587.94,269.48556199999996,241.601188,289.643578,0.88,2.02,9.16,21.97201171875,73.809,0.0
uring,128,1,off,20000,3,64,326.916,312.686,7087.84,10500.462,1828.3790000000001,24051.2,14700.045,4522.389,29673.847,14700.045,4522.389,29673.847,1362.47775,617.6610000000001,8152.981984,1.92,9.44,17.53,43.853390625,74.159,0.0
uring,128,16,off,0,3,256,219.418,217.637,229.668,309.707,262.767,338.096,1182.117,987.2090000000001,1855.979,2022.817,1822.839,2907.377,254.310023,246.22802299999998,257.082266,0.89,2.96,9.66,26.1602734375,89.559,0.0
uring,4096,1,keep-size,0,3,256,220.257,218.608,222.62800000000001,275.567,250.757,373.015,849.36,406.845,1028.638,994.0790000000001,676.383,1787.95,233.620215,226.34757800000003,257.834363,0.91,2.34,9.95,26.54939453125,120.108,2.0
uring,4096,1,off,0,3,256,226.907,211.397,231.198,327.246,323.017,350.446,935.729,736.892,1751.53,1810.69,984.279,1998.6970000000001,247.15355100000002,246.98066,252.524707,0.84,2.53,9.51,26.27309765625,110.709,0.0
uring,4096,16,off,0,3,256,282.91700000000003,275.077,296.266,385.676,341.246,484.135,1772.89,409.955,1874.1090000000002,2303.814,1226.4560000000001,2949.746,324.164074,286.823125,349.357211,0.91,2.02,16.1,59.368109375,96.789,0.0
uring,65536,1,off,0,3,256,288.906,278.06600000000003,298.937,423.175,325.096,1429.234,1129.817,534.844,6491.0470000000005,1200.737,954.639,10033.937,321.170387,287.013074,516.363578,0.98,2.16,18.68,61.4803203125,75.649,0.0
uring-linked,128,1,keep-size,0,3,256,215.398,208.948,218.40800000000002,261.217,260.647,321.517,1011.878,272.877,1023.989,1470.164,309.577,1834.08,229.403672,220.836035,240.11785200000003,0.97,2.99,9.33,20.87569921875,94.878,1.82
uring-linked,128,1,off,0,3,256,218.798,207.77700000000002,231.177,320.37600000000003,257.067,344.926,1093.1580000000001,990.028,1161.4270000000001,1783.8500000000001,1121.637,2193.135,237.47491000000002,229.354293,262.42951600000004,0.89,2.46,9.07,20.2774765625,89.319,0.0
uring-linked,128,1,off,20000,3,64,327.216,259.237,1282.546,1878.819,287.457,11716.528,5376.58,321.346,25774.440000000002,5376.58,321.346,25774.440000000002,603.3642970000001,259.986266,4615.901906000001,2.78,7.73,24.06,48.729484375,73.349,0.0
uring-linked,128,16,off,0,3,256,213.857,209.238,218.738,347.557,268.987,355.056,1143.567,997.619,1218.666,1865.549,1679.061,2657.71,245.360488,243.62666800000002,252.686223,0.96,2.4,10.29,23.19955078125,81.519,0.0
uring-linked,4096,1,keep-size,0,3,256,214.457,213.208,215.388,292.646,232.848,331.426,904.77,269.047,1192.376,1687.691,281.887,1778.761,237.16662100000002,213.75232,247.10080900000003,0.94,2.13,9.71,22.58994140625,74.38,1.44
uring-linked,4096,1,off,0,3,256,214.708,214.217,222.818,379.25600000000003,288.837,380.496,1212.4470000000001,1016.308,1253.775,2055.007,1772.3,5461.499,256.63766,239.64177700000002,275.22468,0.95,2.78,10.049,24.28678125,76.81,0.0
