mode,document_bytes,batch,runs,edits_per_run,groups_per_run,p50_us_median,p50_us_min,p50_us_max,p95_us_median,p95_us_min,p95_us_max,p99_us_median,p99_us_min,p99_us_max,max_us_median,max_us_min,max_us_max,mean_us_median,mean_us_min,mean_us_max,bytes_written_per_edit,cpu_us_per_group_median,wall_us_per_group_median,validation_us_median,materialization_us_per_group_median,encoding_checksum_us_per_group_median,data_write_us_per_group_median,file_sync_us_per_group_median,rename_dirsync_us_per_group_median
commit-direct,65536,1,3,64,64,264.657,259.057,266.867,331.726,316.887,1048.089,841.491,383.976,1602.582,841.491,383.976,1602.582,280.227,265.389,341.129,65536.0,29.51171875,280.277,34.93,0.033453125,0.0,15.398718749999999,263.56690625,0.0
commit-direct,1048576,1,3,64,64,583.154,580.363,663.693,1193.317,1073.628,1331.265,1991.048,1989.758,4894.535,1991.048,1989.758,4894.535,654.578,633.084,832.731,1048576.0,112.7083125,654.624828125,384.566,0.046875,0.0,72.1501875,580.82809375,0.0
commit-direct,16777216,1,3,12,12,5624.587,5259.931,5727.956,8393.505,6284.369,8450.025,8393.505,6284.369,8450.025,8393.505,6284.369,8450.025,5863.452,5365.801,5946.043,16777216.0,2257.1094166666667,5863.71575,6928.342,0.13416666666666668,0.0,1354.9374166666666,4435.073416666667,0.0
commit-replace,65536,1,3,64,64,516.504,509.494,528.454,990.089,568.964,1469.623,1816.819,1095.067,5724.265,1816.819,1095.067,5724.265,595.912,529.318,647.101,65536.0,85.191828125,595.957671875,40.17,0.03484375,0.0,34.8538125,290.89,257.898671875
commit-replace,1048576,1,3,64,64,945.15,924.849,968.5,1783.97,1660.392,2345.064,2599.74,2538.422,3504.591,2599.74,2538.422,3504.591,1050.071,1039.345,1050.694,1048576.0,234.288703125,1050.1569375,404.116,0.07064062500000001,0.0,133.59825,613.3435937500001,299.06285937499996
commit-replace,16777216,1,3,12,12,7550.725,7448.726,7766.453,9040.498,8595.953,11304.613,9040.498,8595.953,11304.613,9040.498,8595.953,11304.613,7741.305,7711.265,7821.005,16777216.0,3469.3983333333335,7741.607166666667,2857.847,0.12083333333333335,0.0,2481.4121666666665,4605.613833333334,687.53
snapshot-direct,65536,1,3,64,64,263.567,258.538,268.537,402.545,311.796,709.112,1013.459,910.14,3349.332,1013.459,910.14,3349.332,313.756,277.167,327.162,65536.0,29.921765625,313.8656875,37.55,0.036546875,0.0,15.608,296.863171875,0.0
snapshot-direct,1048576,1,3,64,64,600.353,552.354,866.051,1131.357,904.41,24915.78,4558.209,2284.445,26359.764,4558.209,2284.445,26359.764,702.223,597.039,6483.572,1048576.0,131.956328125,702.2885,380.386,0.06217187500000001,0.0,87.657765625,613.0213749999999,0.0
snapshot-direct,16777216,1,3,12,12,5890.924,5763.325,6223.69,8133.979,7078.48,10027.227,8133.979,7078.48,10027.227,8133.979,7078.48,10027.227,6107.179,5883.254,6680.766,16777216.0,2438.5191666666665,6107.468000000001,6416.798,0.36,0.0,1521.1678333333332,4540.149166666667,0.0
snapshot-replace,65536,1,3,64,64,523.104,502.805,534.454,840.55,655.953,1181.506,1724.671,1587.522,1926.089,1724.671,1587.522,1926.089,576.771,558.417,581.247,65536.0,85.99009375,576.822890625,32.54,0.03734375,0.0,35.287140625000006,281.2641875,255.73721875
